name,type,start_time,duration,"data","error"
"Async TX","data",1.155126,0.000082,"l",
"Async TX","data",1.155213,0.000082,"=",
"Async TX","data",1.1552995,0.000082,"1",
"Async TX","data",1.1553865,0.000082,"ÿ",
"Async TX","data",1.155473,0.000082,"ÿ",
"Async TX","data",1.15556,0.000082,"ÿ",
"Async TX","data",1.1556465,0.000082,"t",
"Async TX","data",1.1557335,0.000082,"0",
"Async TX","data",1.15582,0.000082,".",
"Async TX","data",1.155907,0.000082,"t",
"Async TX","data",1.1559935,0.000082,"x",
"Async TX","data",1.1560805,0.000082,"t",
"Async TX","data",1.156167,0.000082,"=",
"Async TX","data",1.156254,0.000082,"""",
"Async TX","data",1.1563405,0.000082,"1",
"Async TX","data",1.1564275,0.000082,"%",
"Async TX","data",1.156514,0.000082,"""",
"Async TX","data",1.156601,0.000082,"ÿ",
"Async TX","data",1.1566875,0.000082,"ÿ",
"Async TX","data",1.1567745,0.000082,"ÿ",
"Async TX","data",1.177267,0.000082,"j",
"Async TX","data",1.1773535,0.000082,"0",
"Async TX","data",1.1774405,0.000082,".",
"Async TX","data",1.177527,0.000082,"v",
"Async TX","data",1.177614,0.000082,"a",
"Async TX","data",1.177701,0.000082,"l",
"Async TX","data",1.1777875,0.000082,"=",
"Async TX","data",1.1778745,0.000082,"2",
"Async TX","data",1.177961,0.000082,"ÿ",
"Async TX","data",1.178048,0.000082,"ÿ",
"Async TX","data",1.178135,0.000082,"ÿ",
"Async TX","data",1.1782215,0.000082,"t",
"Async TX","data",1.1783085,0.000082,"0",
"Async TX","data",1.178395,0.000082,".",
"Async TX","data",1.178482,0.000082,"t",
"Async TX","data",1.178569,0.000082,"x",
"Async TX","data",1.1786555,0.000082,"t",
"Async TX","data",1.1787425,0.000082,"=",
"Async TX","data",1.178829,0.000082,"""",
"Async TX","data",1.178916,0.000082,"2",
"Async TX","data",1.1790025,0.000082,"%",
"Async TX","data",1.1790895,0.000082,"""",
"Async TX","data",1.179176,0.000082,"ÿ",
"Async TX","data",1.179263,0.000082,"ÿ",
"Async TX","data",1.1793495,0.000082,"ÿ",
"Async TX","data",1.199839,0.000082,"j",
"Async TX","data",1.1999255,0.000082,"0",
"Async TX","data",1.2000125,0.000082,".",
"Async TX","data",1.200099,0.000082,"v",
"Async TX","data",1.200186,0.000082,"a",
"Async TX","data",1.2002725,0.000082,"l",
"Async TX","data",1.2003595,0.000082,"=",
"Async TX","data",1.200446,0.000082,"3",
"Async TX","data",1.200533,0.000082,"ÿ",
"Async TX","data",1.2006195,0.000082,"ÿ",
"Async TX","data",1.2007065,0.000082,"ÿ",
"Async TX","data",1.200793,0.000082,"t",
"Async TX","data",1.20088,0.000082,"0",
"Async TX","data",1.2009665,0.000082,".",
"Async TX","data",1.201053,0.000082,"t",
"Async TX","data",1.20114,0.000082,"x",
"Async TX","data",1.2012265,0.000082,"t",
"Async TX","data",1.2013135,0.000082,"=",
"Async TX","data",1.2014,0.000082,"""",
"Async TX","data",1.201487,0.000082,"3",
"Async TX","data",1.2015735,0.000082,"%",
"Async TX","data",1.20166,0.000082,"""",
"Async TX","data",1.201747,0.000082,"ÿ",
"Async TX","data",1.2018335,0.000082,"ÿ",
"Async TX","data",1.2019205,0.000082,"ÿ",
"Async TX","data",1.2224145,0.000082,"j",
"Async TX","data",1.2225015,0.000082,"0",
"Async TX","data",1.2225885,0.000082,".",
"Async TX","data",1.222675,0.000082,"v",
"Async TX","data",1.222762,0.000082,"a",
"Async TX","data",1.2228485,0.000082,"l",
"Async TX","data",1.2229355,0.000082,"=",
"Async TX","data",1.223022,0.000082,"4",
"Async TX","data",1.223109,0.000082,"ÿ",
"Async TX","data",1.2231955,0.000082,"ÿ",
"Async TX","data",1.2232825,0.000082,"ÿ",
"Async TX","data",1.2233695,0.000082,"t",
"Async TX","data",1.223456,0.000082,"0",
"Async TX","data",1.223543,0.000082,".",
"Async TX","data",1.2236295,0.000082,"t",
"Async TX","data",1.2237165,0.000082,"x",
"Async TX","data",1.223803,0.000082,"t",
"Async TX","data",1.22389,0.000082,"=",
"Async TX","data",1.2239765,0.000082,"""",
"Async TX","data",1.2240635,0.000082,"4",
"Async TX","data",1.2241505,0.000082,"%",
"Async TX","data",1.224237,0.000082,"""",
"Async TX","data",1.224324,0.000082,"ÿ",
"Async TX","data",1.2244105,0.000082,"ÿ",
"Async TX","data",1.224497,0.000082,"ÿ",
"Async TX","data",1.2449905,0.000082,"j",
"Async TX","data",1.2450775,0.000082,"0",
"Async TX","data",1.245164,0.000082,".",
"Async TX","data",1.245251,0.000082,"v",
"Async TX","data",1.245338,0.000082,"a",
"Async TX","data",1.2454245,0.000082,"l",
"Async TX","data",1.2455115,0.000082,"=",
"Async TX","data",1.245598,0.000082,"5",
"Async TX","data",1.245685,0.000082,"ÿ",
"Async TX","data",1.2457715,0.000082,"ÿ",
"Async TX","data",1.2458585,0.000082,"ÿ",
"Async TX","data",1.245945,0.000082,"t",
"Async TX","data",1.246032,0.000082,"0",
"Async TX","data",1.2461185,0.000082,".",
"Async TX","data",1.2462055,0.000082,"t",
"Async TX","data",1.246292,0.000082,"x",
"Async TX","data",1.246379,0.000082,"t",
"Async TX","data",1.246466,0.000082,"=",
"Async TX","data",1.2465525,0.000082,"""",
"Async TX","data",1.2466395,0.000082,"5",
"Async TX","data",1.246726,0.000082,"%",
"Async TX","data",1.246813,0.000082,"""",
"Async TX","data",1.2469,0.000082,"ÿ",
"Async TX","data",1.2469865,0.000082,"ÿ",
"Async TX","data",1.2470735,0.000082,"ÿ",
"Async TX","data",1.2675695,0.000082,"j",
"Async TX","data",1.267656,0.000082,"0",
"Async TX","data",1.267743,0.000082,".",
"Async TX","data",1.26783,0.000082,"v",
"Async TX","data",1.2679165,0.000082,"a",
"Async TX","data",1.2680035,0.000082,"l",
"Async TX","data",1.26809,0.000082,"=",
"Async TX","data",1.268177,0.000082,"6",
"Async TX","data",1.2682635,0.000082,"ÿ",
"Async TX","data",1.2683505,0.000082,"ÿ",
"Async TX","data",1.268437,0.000082,"ÿ",
"Async TX","data",1.268524,0.000082,"t",
"Async TX","data",1.268611,0.000082,"0",
"Async TX","data",1.2686975,0.000082,".",
"Async TX","data",1.2687845,0.000082,"t",
"Async TX","data",1.268871,0.000082,"x",
"Async TX","data",1.268958,0.000082,"t",
"Async TX","data",1.2690445,0.000082,"=",
"Async TX","data",1.2691315,0.000082,"""",
"Async TX","data",1.269218,0.000082,"6",
"Async TX","data",1.269305,0.000082,"%",
"Async TX","data",1.2693915,0.000082,"""",
"Async TX","data",1.2694785,0.000082,"ÿ",
"Async TX","data",1.269565,0.000082,"ÿ",
"Async TX","data",1.269652,0.000082,"ÿ",
"Async TX","data",1.2901435,0.000082,"j",
"Async TX","data",1.2902305,0.000082,"0",
"Async TX","data",1.290317,0.000082,".",
"Async TX","data",1.290404,0.000082,"v",
"Async TX","data",1.290491,0.000082,"a",
"Async TX","data",1.2905775,0.000082,"l",
"Async TX","data",1.2906645,0.000082,"=",
"Async TX","data",1.290751,0.000082,"7",
"Async TX","data",1.290838,0.000082,"ÿ",
"Async TX","data",1.2909245,0.000082,"ÿ",
"Async TX","data",1.2910115,0.000082,"ÿ",
"Async TX","data",1.291098,0.000082,"t",
"Async TX","data",1.291185,0.000082,"0",
"Async TX","data",1.291272,0.000082,".",
"Async TX","data",1.2913585,0.000082,"t",
"Async TX","data",1.2914455,0.000082,"x",
"Async TX","data",1.291532,0.000082,"t",
"Async TX","data",1.291619,0.000082,"=",
"Async TX","data",1.2917055,0.000082,"""",
"Async TX","data",1.2917925,0.000082,"7",
"Async TX","data",1.291879,0.000082,"%",
"Async TX","data",1.291966,0.000082,"""",
"Async TX","data",1.2920525,0.000082,"ÿ",
"Async TX","data",1.2921395,0.000082,"ÿ",
"Async TX","data",1.292226,0.000082,"ÿ",
"Async TX","data",1.31272,0.000082,"j",
"Async TX","data",1.312807,0.000082,"0",
"Async TX","data",1.3128935,0.000082,".",
"Async TX","data",1.3129805,0.000082,"v",
"Async TX","data",1.3130675,0.000082,"a",
"Async TX","data",1.313154,0.000082,"l",
"Async TX","data",1.313241,0.000082,"=",
"Async TX","data",1.3133275,0.000082,"8",
"Async TX","data",1.3134145,0.000082,"ÿ",
"Async TX","data",1.3135015,0.000082,"ÿ",
"Async TX","data",1.313588,0.000082,"ÿ",
"Async TX","data",1.313675,0.000082,"t",
"Async TX","data",1.3137615,0.000082,"0",
"Async TX","data",1.3138485,0.000082,".",
"Async TX","data",1.3139355,0.000082,"t",
"Async TX","data",1.314022,0.000082,"x",
"Async TX","data",1.314109,0.000082,"t",
"Async TX","data",1.3141955,0.000082,"=",
"Async TX","data",1.3142825,0.000082,"""",
"Async TX","data",1.314369,0.000082,"8",
"Async TX","data",1.314456,0.000082,"%",
"Async TX","data",1.3145425,0.000082,"""",
"Async TX","data",1.3146295,0.000082,"ÿ",
"Async TX","data",1.314716,0.000082,"ÿ",
"Async TX","data",1.314803,0.000082,"ÿ",
"Async TX","data",1.335294,0.000082,"j",
"Async TX","data",1.3353805,0.000082,"0",
"Async TX","data",1.335467,0.000082,".",
"Async TX","data",1.335554,0.000082,"v",
"Async TX","data",1.3356405,0.000082,"a",
"Async TX","data",1.3357275,0.000082,"l",
"Async TX","data",1.335814,0.000082,"=",
"Async TX","data",1.335901,0.000082,"9",
"Async TX","data",1.3359875,0.000082,"ÿ",
"Async TX","data",1.3360745,0.000082,"ÿ",
"Async TX","data",1.336161,0.000082,"ÿ",
"Async TX","data",1.336248,0.000082,"t",
"Async TX","data",1.3363345,0.000082,"0",
"Async TX","data",1.3364215,0.000082,".",
"Async TX","data",1.336508,0.000082,"t",
"Async TX","data",1.336595,0.000082,"x",
"Async TX","data",1.3366815,0.000082,"t",
"Async TX","data",1.336768,0.000082,"=",
"Async TX","data",1.336855,0.000082,"""",
"Async TX","data",1.3369415,0.000082,"9",
"Async TX","data",1.3370285,0.000082,"%",
"Async TX","data",1.337115,0.000082,"""",
"Async TX","data",1.337202,0.000082,"ÿ",
"Async TX","data",1.3372885,0.000082,"ÿ",
"Async TX","data",1.3373755,0.000082,"ÿ",
"Async TX","data",1.3578865,0.000082,"j",
"Async TX","data",1.3579735,0.000082,"0",
"Async TX","data",1.35806,0.000082,".",
"Async TX","data",1.358147,0.000082,"v",
"Async TX","data",1.358234,0.000082,"a",
"Async TX","data",1.3583205,0.000082,"l",
"Async TX","data",1.3584075,0.000082,"=",
"Async TX","data",1.358494,0.000082,"1",
"Async TX","data",1.358581,0.000082,"0",
"Async TX","data",1.3586675,0.000082,"ÿ",
"Async TX","data",1.3587545,0.000082,"ÿ",
"Async TX","data",1.358841,0.000082,"ÿ",
"Async TX","data",1.3589365,0.000082,"t",
"Async TX","data",1.3590235,0.000082,"0",
"Async TX","data",1.35911,0.000082,".",
"Async TX","data",1.3591965,0.000082,"t",
"Async TX","data",1.3592835,0.000082,"x",
"Async TX","data",1.35937,0.000082,"t",
"Async TX","data",1.359457,0.000082,"=",
"Async TX","data",1.3595435,0.000082,"""",
"Async TX","data",1.3596305,0.000082,"1",
"Async TX","data",1.359717,0.000082,"0",
"Async TX","data",1.359804,0.000082,"%",
"Async TX","data",1.3598905,0.000082,"""",
"Async TX","data",1.3599775,0.000082,"ÿ",
"Async TX","data",1.3600645,0.000082,"ÿ",
"Async TX","data",1.360151,0.000082,"ÿ",
"Async TX","data",1.3806615,0.000082,"j",
"Async TX","data",1.3807485,0.000082,"0",
"Async TX","data",1.3808355,0.000082,".",
"Async TX","data",1.380922,0.000082,"v",
"Async TX","data",1.381009,0.000082,"a",
"Async TX","data",1.3810955,0.000082,"l",
"Async TX","data",1.3811825,0.000082,"=",
"Async TX","data",1.3812695,0.000082,"1",
"Async TX","data",1.381356,0.000082,"1",
"Async TX","data",1.381443,0.000082,"ÿ",
"Async TX","data",1.3815295,0.000082,"ÿ",
"Async TX","data",1.3816165,0.000082,"ÿ",
"Async TX","data",1.381712,0.000082,"t",
"Async TX","data",1.3817985,0.000082,"0",
"Async TX","data",1.3818855,0.000082,".",
"Async TX","data",1.381972,0.000082,"t",
"Async TX","data",1.3820585,0.000082,"x",
"Async TX","data",1.3821455,0.000082,"t",
"Async TX","data",1.382232,0.000082,"=",
"Async TX","data",1.382319,0.000082,"""",
"Async TX","data",1.3824055,0.000082,"1",
"Async TX","data",1.3824925,0.000082,"1",
"Async TX","data",1.382579,0.000082,"%",
"Async TX","data",1.382666,0.000082,"""",
"Async TX","data",1.3827525,0.000082,"ÿ",
"Async TX","data",1.3828395,0.000082,"ÿ",
"Async TX","data",1.382926,0.000082,"ÿ",
"Async TX","data",1.4034285,0.000082,"j",
"Async TX","data",1.4035155,0.000082,"0",
"Async TX","data",1.403602,0.000082,".",
"Async TX","data",1.403689,0.000082,"v",
"Async TX","data",1.4037755,0.000082,"a",
"Async TX","data",1.4038625,0.000082,"l",
"Async TX","data",1.4039495,0.000082,"=",
"Async TX","data",1.404036,0.000082,"1",
"Async TX","data",1.404123,0.000082,"2",
"Async TX","data",1.4042095,0.000082,"ÿ",
"Async TX","data",1.4042965,0.000082,"ÿ",
"Async TX","data",1.404383,0.000082,"ÿ",
"Async TX","data",1.4044785,0.000082,"t",
"Async TX","data",1.404565,0.000082,"0",
"Async TX","data",1.404652,0.000082,".",
"Async TX","data",1.4047385,0.000082,"t",
"Async TX","data",1.4048255,0.000082,"x",
"Async TX","data",1.404912,0.000082,"t",
"Async TX","data",1.404999,0.000082,"=",
"Async TX","data",1.405086,0.000082,"""",
"Async TX","data",1.4051725,0.000082,"1",
"Async TX","data",1.4052595,0.000082,"2",
"Async TX","data",1.405346,0.000082,"%",
"Async TX","data",1.405433,0.000082,"""",
"Async TX","data",1.4055195,0.000082,"ÿ",
